vessel_name,year,num_deaths,num_passengers,num_adults,num_children,uk_port,aus_port,num_infant_deaths,num_child_deaths,num_adult_deaths,num_live_births,notes,source,passenger_deaths_percent,num_arriving_passengers
Sarah & Elizabeth,1837,0.0,40.0,38.0,2.0,Hull,Kangaroo Island,0.0,0.0,0.0,1.0,No Deaths,as above,0.0,40.0
Hartley,1837,0.0,108.0,57.0,51.0,Gravesend,Port Adelaide,0.0,1.0,0.0,3.0,Arrival in Port Adelaide on 28.10.1837,as above,0.0,108.0
Coromandel,1837,2.0,156.0,124.0,32.0,Deal,Kangaroo Island_Glenelg ,1.0,1.0,0.0,2.0," Deaths = infant under 1 yr & a 1.5 yr old child no cause given.     113 x ""Assisted/free Passage labourers"" adults (57 males & 56 female) 32 children",as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,1.282051282051282,154.0
Isabella,1837,0.0,13.0,,,London,Glenelg,0.0,0.0,0.0,0.0,Arrival in Glenelg on 11.02.1837.  ,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,0.0,13.0
Lady Emma,1837,1.0,109.0,67.0,42.0,Gravesend,Port Adelaide,0.0,1.0,0.0,1.0,Death = child age unknown or cause of death,as above,0.9174311926605505,108.0
Navarino,1837,2.0,217.0,151.0,66.0,Gravesend,Port Adelaide,0.0,0.0,1.0,0.0,Death = adult female & adult male no age or cause of death,as above,0.9216589861751152,215.0
John Renwick,1837,3.0,140.0,106.0,34.0,Gravesend,Glenelg & Port Adelaide,1.0,0.0,1.0,2.0,"Deaths = one infant & one adult male . SHAND, Mr (//-//1837) Died at sea, suddenly. A drunkard Chronicle 1/1/1898 p21b.Arrival in Glenelg on 09.01.1837 & Port Adelaide on 21.02.1837",as above,2.142857142857143,137.0
Katherine Stewart Forbes,1837,1.0,222.0,143.0,79.0,Gravesend,Port Adelaide,0.0,0.0,2.0,1.0,Death = adult female no age or cause of death,https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,0.45045045045045046,221.0
Rajasthan,1838,1.0,235.0,171.0,64.0,London,Port Adelaide,0.0,1.0,0.0,1.0,"Death = child 6 yrs no cause given.       ASHTON, William Baker (c1803-28/4/1854) Born England. Died Adelaide SA. Police officer from England. Adelaide Gaol Governor, farmer; Adelaide. ",as above,0.425531914893617,234.0
Henry Porcher,1838,0.0,140.0,99.0,41.0,London,Port Adelaide,0.0,0.0,0.0,1.0,Arrival in Port Adelaide on 01.07.1838,as above,0.0,140.0
Catherine Jamieson,1838,0.0,37.0,37.0,0.0,Leith,Port Adelaide,0.0,0.0,0.0,1.0,No Deaths,as above,0.0,37.0
Canton,1838,0.0,143.0,83.0,60.0,London,Port Adelaide,0.0,0.0,0.0,0.0,No Deaths,as above,0.0,143.0
Prince George,1838,1.0,199.0,126.0,73.0,London,Port Adelaide,1.0,0.0,0.0,0.0,Death = infant - 7 months - burnt to death,as above,0.5025125628140703,198.0
Lloyds,1838,0.0,181.0,120.0,61.0,London,Port Adelaide,0.0,0.0,0.0,1.0,No Deaths,as above,0.0,181.0
Surry,1838,4.0,106.0,82.0,24.0,London,Port Adelaide,0.0,4.0,0.0,1.0,Deaths = all children - no age or cause of death_32 german passengers _,as above,3.7735849056603774,102.0
Royal Admiral,1838,0.0,208.0,139.0,69.0,London_Falmouth_Gravesend,Port Adelaide,0.0,0.0,0.0,1.0,No deaths,as above,0.0,208.0
Glenalvon,1838,0.0,17.0,12.0,5.0,London,Port Adelaide,0.0,0.0,0.0,0.0,No Deaths,as above,0.0,17.0
Pestonjee Bomanjee,1838,1.0,230.0,160.0,70.0,London,Glenelg,0.0,1.0,0.0,1.0,Deaths = child age 2 yrs - no cause given___230 in steerage _ ,as above,0.43478260869565216,229.0
Lord Goderich,1838,0.0,157.0,111.0,46.0,London,Port Adelaide,0.0,0.0,0.0,2.0,No Deaths,as above,0.0,157.0
Winchester,1838,10.0,121.0,73.0,48.0,London,Port Adelaide,1.0,8.0,1.0,2.0,Deaths = infant born & died at sea. No age range or cause of death for the children or adult,as above,8.264462809917356,111.0
Duke of Roxburgh,1838,0.0,84.0,65.0,19.0,London,Kangaroo Island & Glenelg ,0.0,0.0,0.0,0.0,No deaths,as above,0.0,84.0
Eden,1838,1.0,228.0,149.0,79.0,London_Portsmouth,Port Adelaide,0.0,0.0,1.0,2.0,Death = adult male - no age or cause of death,as above,0.43859649122807015,227.0
The Trusty,1838,0.0,129.0,96.0,33.0,London,Port Adelaide,0.0,0.0,0.0,1.0,No deaths,as above,0.0,129.0
Caroline,1839,,118.0,99.0,17.0,London_Gravesend_Plymouth,Port Adelaide,,,,2.0,,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,,118.0
Resource,1839,30.0,211.0,117.0,94.0,London,Port Adelaide,1.0,2.0,2.0,1.0,"Death = infant born & died at sea.  children age range 2 - 4 yrs = ""FOLLAND, Ellen (//c1836-//1838) Died at sea, the 1st to succumb to a mysterious illness, which claimed c30 persons mainly children & 4 yr old sister.""  
Adult male age 29 yrs , adult female age unknown",as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,14.218009478672986,181.0
Recovery,1839,3.0,237.0,152.0,85.0,London,Port Adelaide,0.0,3.0,0.0,,Deaths = children no ages or causes of death given,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,1.2658227848101267,234.0
Dehli,1839,9.0,167.0,105.0,62.0,Liverpool,Port Adelaide,0.0,9.0,0.0,3.0,Deaths = children over 1 yr no specific age or causes of death,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,5.389221556886228,158.0
Orleana,1839,0.0,95.0,63.0,32.0,Liverpool,Port Adelaide,0.0,0.0,0.0,0.0,No deaths,as above,0.0,95.0
Dawsons,1839,0.0,13.0,7.0,6.0,London,Port Adelaide,0.0,0.0,0.0,0.0,No Deaths,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,0.0,13.0
Welcome,1839,0.0,30.0,24.0,6.0,Greenock,Port Adelaide,0.0,0.0,0.0,0.0,No deaths,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,0.0,30.0
Asia,1839,8.0,245.0,138.0,107.0,London,Port Adelaide,0.0,8.0,0.0,1.0,Deaths = children  unknown age - some listed as died due to Measles,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,3.2653061224489797,237.0
Palmyra,1839,,150.0,136.0,14.0,Greenock,Port Adelaide,,,,,,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,,150.0
Indus,1839,0.0,73.0,66.0,7.0,Dundee,Port Adelaide,0.0,0.0,0.0,0.0,No deaths,as above,0.0,73.0
Prince Regent,1839,20.0,199.0,168.0,31.0,London,Port Adelaide,0.0,20.0,0.0,,Deaths =children ages not given - possible Measles____ 23 deaths are listed at the top of passenger list but no details,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,10.050251256281408,179.0
William Barrass,1839,0.0,16.0,16.0,0.0,London,Port Adelaide,0.0,0.0,0.0,0.0,,,0.0,16.0
Porter,1839,0.0,23.0,12.0,11.0,Liverpool,Port Adelaide,0.0,0.0,0.0,0.0,No deaths,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,0.0,23.0
Plantina,1839,9.0,105.0,59.0,46.0,London,Port Adelaide,,3.0,1.0,1.0,Deaths = infnat born & died at sea. Child age 4 yrs. Other children - no ages given. adult female ahe 37 yrs no cause of death given,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,8.571428571428571,96.0
Planter,1839,1.0,95.0,66.0,29.0,London,Port Adelaide,0.0,0.0,1.0,1.0,Deaths = adult female no age or cause of death,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,1.0526315789473684,94.0
Moffatt,1839,20.0,316.0,174.0,142.0,London,Port Adelaide,7.0,10.0,3.0,12.0,"Deaths = three infants incl a set of twins were born but died at sea. Children between 1- 10 yrs of age. Three adult females age range 18-25 yrs. Causes of death listed as concussion, fever and aploplexy respectively.
 Passenger list states that 28 people died of natural causes on board, and two more drowned = 30 dead",as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,6.329113924050633,296.0
Katherine Stewart Forbes,1839,2.0,83.0,45.0,10.0,London_Portsmouth,Port Adelaide,1.0,0.0,1.0,0.0,Deaths = infant under 1 yr & adult female - married - no age or cause of death,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,2.4096385542168677,81.0
Buckinghamshire,1839,5.0,512.0,332.0,180.0,London_Portsmouth,Port Adelaide,0.0,4.0,1.0,0.0,"Deaths = children & adult female - no ages54 cabin, 15 steerage & 443 SA Commissioners emigrants",,0.9765625,507.0
D'Auvergne,1839,,170.0,98.0,72.0,London,Port Adelaide,,,,,,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,,170.0
Dorset,1839,0.0,14.0,7.0,7.0,Liverpool,Port Adelaide,0.0,0.0,0.0,0.0,No Deaths,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,0.0,14.0
City of Adelaide,1839,,75.0,64.0,11.0,London,Port Adelaide,,,,,,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,,75.0
Alice Brooks,1839,0.0,17.0,15.0,2.0,Liverpool,Port Adelaide,0.0,0.0,0.0,0.0,,,0.0,17.0
Fairfield,1839,0.0,115.0,83.0,32.0,Liverpool,Port Adelaide,0.0,0.0,0.0,,No deaths ___5 months at sea,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,0.0,115.0
Lysander,1839,4.0,218.0,110.0,108.0,Liverpool,Port Adelaide,2.0,1.0,1.0,7.0,Deaths = two infants born & died at sea. Child & adult female - married - no age - no cause of death,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,1.834862385321101,214.0
Superb,1839,,49.0,35.0,14.0,Greenock,Port Adelaide,,,,,,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,,49.0
Ganges,1839,0.0,60.0,45.0,15.0,London,Port Adelaide,0.0,0.0,0.0,,No Death,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,0.0,60.0
Somersetshire,1839,,234.0,136.0,98.0,London,"Ran aground between
Glenelg & Semaphore",,,,,Ship ran aground between Glenelg and the Semaphore and sailors ‘piggybacked’ the passengers ashore.,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,,234.0
Sir Charles forbes,1839,0.0,183.0,124.0,59.0,Liverpool,Port Adelaide,0.0,0.0,0.0,0.0,No Deaths,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,0.0,183.0
Singapore,1839,,96.0,74.0,22.0,London,Port Adelaide,,,,,,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,,96.0
Georgiana,1839,,70.0,68.0,2.0,Leith,Port Adelaide,,,,,,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,,70.0
Ariadne,1839,,108.0,71.0,37.0,Greenock,Port Adelaide,,,,,,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,,108.0
Seppings,1839,0.0,36.0,21.0,15.0,London,Port Adelaide,0.0,0.0,0.0,0.0,No deaths,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,0.0,36.0
Lady Bute,1839,0.0,61.0,53.0,8.0,Greenock_Maderia,Port Adelaide,,,,,NO deaths,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,0.0,61.0
Bardaster,1839,0.0,66.0,44.0,22.0,London,Port Adelaide,0.0,0.0,0.0,0.0,No Deaths,,0.0,66.0
Anna Robertson,1839,1.0,118.0,98.0,20.0,London,Port Adelaide,0.0,0.0,1.0,1.0,Death = one adult female no age or cause of deth given,,0.847457627118644,117.0
Dumfries,1839,,60.0,31.0,29.0,London,Port Adelaide,,,,,,,,60.0
Thomas Harrison,1839,3.0,103.0,70.0,25.0,London_Deal,Port Adelaide,3.0,0.0,0.0,0.0,Deaths = infants under 1 yr,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,2.912621359223301,100.0
Cleveland,1839,,189.0,118.0,71.0,London_Plymouth,Port Adelaide,,,,2.0,,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,,189.0
Duchess of Northumberland,1839,17.0,251.0,186.0,65.0,London,Port Adelaide,6.0,7.0,4.0,7.0,"Deaths = infants under 1 yr. Children - no age given_ Adults  Cholera _ Diarrhoea_Brain feverGEAR, Captain Frederick. - The Colton and Hewett families were supposed to have chartered this vessel to bring their families, servants, livestock and equipment to SA. Official stats issued 28/12/1839. 59 males, 60 females, 107 children = 226",https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_late_1839,6.772908366533864,234.0
Hooghly,1839,1.0,290.0,168.0,122.0,London,Port Adelaide,0.0,0.0,1.0,,Deaths = adult female age 19 yrs,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,0.3448275862068966,289.0
Glenswilly,1839,5.0,41.0,20.0,21.0,Greenock,Port Adelaide,0.0,8.0,0.0,8.0,Deaths = children no ages or causes of death given,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,12.195121951219512,36.0
Lady Lilford,1839,1.0,203.0,110.0,93.0,Liverpool,Port Adelaide,0.0,1.0,0.0,4.0,Death = 1 child no age or case of death,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,0.49261083743842365,202.0
Lalla Rookh,1840,1.0,129.0,80.0,49.0,London,Port Adelaide,0.0,1.0,0.0,,"Death = one child or infant- age unknow or cause of death___11 cabin, 15 intermediate & 93 steerage
",https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,0.7751937984496124,128.0
Martin Luther,1840,,16.0,12.0,4.0,Greenock,Port Adelaide,,,,,,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,16.0
Lysander,1840,,220.0,209.0,11.0,London_Plymouth,Port Adelaide,,,,,,,,220.0
Brightman,1840,4.0,174.0,120.0,53.0,London_Plymouth_Cork,Port Adelaide,0.0,2.0,2.0,5.0,Deaths = two children & two adult females - ages unknown or cause of death.  100 steerage,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,2.2988505747126435,170.0
Helen Thompson,1840,,28.0,26.0,2.0,Greenock,Port Adelaide,,,,,,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,28.0
Java,1840,11.0,491.0,318.0,173.0,London_Plymouth,Port Adelaide,0.0,7.0,3.0,,"Deaths = children age 1-11 yrs. two adult malse & one female.
470 steerage passengers. DUTHIE, Captain Alexander - Went on trial for his dreadful treatment of the migrants. 
Brought out sheep, intending to settle. The most notorious emigrant ship of the early colonial period. 
Besides 2 named cabin passengers, 2 unnamed emigrants and a number of children died during the voyage. WATSON, Peter (//-//) Died at sea. The lid of the coffin flew open as it descended into the sea - the body floated and would not sink. From Co Dublin, Ireland.",as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,2.240325865580448,480.0
Indus,1840,,42.0,30.0,12.0,Leith,Port Adelaide,,,,1.0,"8 cabin, 5 intermediate & 30 steerage. 20 commissioner's emigrants from Leith, Scotland",https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,42.0
India,1840,,94.0,91.0,3.0,Greenock,Port Adelaide,,,,,,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,94.0
Mary Dungdale,1840,6.0,205.0,110.0,95.0,Bristol_Dublin,Port Adelaide,0.0,6.0,0.0,,Deaths = all children ages & cause of deaths unknown,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,2.9268292682926833,199.0
Harvest Home,1840,0.0,15.0,10.0,5.0,Dundee,Port Adelaide,0.0,0.0,0.0,0.0,,,0.0,15.0
Charles Kerr,1840,2.0,216.0,124.0,92.0,London_Gravesend,Port Adelaide,0.0,1.0,1.0,,Deaths = one child and one adult male. Ages and causes of deaths unknown,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,0.9259259259259258,214.0
Fairlee,1840,3.0,275.0,170.0,105.0,London,Port Adelaide,0.0,3.0,0.0,,Deaths = children age 2 -7 yrs no cause of death given,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,1.090909090909091,272.0
Fairfield,1840,35.0,186.0,66.0,120.0,London_Plymouth_,Port Adelaide,30.0,3.0,2.0,5.0,Deaths = passenger list states that 35 people died at sea. Fever,as above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837,18.817204301075268,151.0
City of London,1840,,25.0,17.0,8.0,London,Port Adelaide,,,,,,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,25.0
Eliza,1840,1.0,159.0,94.0,63.0,London,Port Adelaide,0.0,1.0,0.0,,Death = child 1 yr. unknown cause of death._____157 steerage &  2 in cabin,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,0.628930817610063,158.0
Diadem,1840,2.0,190.0,,,London_Plymouth,Port Adelaide,0.0,1.0,1.0,,Deaths = one child age 1 yr & one adult female- cause of death unknown__150 emigrants,,1.0526315789473684,188.0
Dauntless,1840,,110.0,75.0,35.0,Greenock,Port Adelaide,,,,,,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,110.0
Culdee,1840,,21.0,21.0,0.0,Greenock,Port Adelaide,,,,,,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,21.0
Courier,1840,1.0,11.0,10.0,1.0,London,Port Adelaide,0.0,0.0,1.0,,Death = adult male approx 40 yrs cause of death unknown,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,9.090909090909092,10.0
John,1840,6.0,224.0,164.0,60.0,London,Port Adelaide,1.0,3.0,2.0,1.0,"Deaths = infant born and died at sea . Adult female possibly mother of infant - listed as brian fever but may have died due to childbirth. Children - unknown ages and cause of death. Adult male unknown age and cause of death but was husband of adult female who died at sea. 
8 cabin, 16 intermediate & 200 steerage passengers",https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,2.6785714285714284,218.0
Birman,1840,,218.0,138.0,80.0,Greenock_Cork,Port Adelaide,,,,,,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,218.0
Branken Moor,1840,,73.0,48.0,25.0,London,Port Adelaide,,,,1.0,,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,73.0
Apolline,1840,,28.0,23.0,5.0,London,Port Adelaide,,,,,,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,28.0
Superb,1840,,32.0,19.0,13.0,Liverpool,Port Adelaide,,,,,,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,32.0
Rajahsthan,1840,,183.0,109.0,74.0,London,Port Adelaide,,,,,,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,183.0
Royal Admiral ,1840,,146.0,56.0,90.0,London,Port Adelaide,,,,,,,,146.0
Thirteen,1840,,56.0,38.0,18.0,London_Portsmouth,Port Adelaide,,,,1.0,,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,56.0
Bamboo,1840,2.0,199.0,126.0,73.0,Liverpool,Port Adelaide,1.0,0.0,1.0,,Deaths = one infant or child age unknown. Adult married female - age & cause of death unknown,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,1.0050251256281406,197.0
Orissa,1840,,117.0,64.0,53.0,London_Liverpool_,Port Adelaide,,,,,,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,117.0
Tomatin,1840,2.0,119.0,99.0,20.0,Greenock,Port Adelaide,0.0,2.0,0.0,,Deaths = two children ages unknown or cause of death.  100 steerage,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,1.680672268907563,117.0
Warrior,1840,,126.0,88.0,38.0,London_Plymouth,Port Adelaide,,,,,"2 steam engines, I flour mill",https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,126.0
Orleana,1840,2.0,260.0,140.0,120.0,London,Port Adelaide,0.0,0.0,1.0,2.0,Death = adult female married - age and cause of death unknown,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,0.7692307692307693,258.0
William Mitchell,1840,,160.0,79.0,81.0,London,Port Adelaide,,,,,,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,160.0
Morley,1840,,192.0,117.0,75.0,London_Plymouth,Port Adelaide,,,,1.0,,,,192.0
William Nichol,1840,1.0,190.0,134.0,56.0,Greenock_Dublin,Port Adelaide,0.0,1.0,0.0,,Death = child age unknown or cause of death,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,0.5263157894736842,189.0
Waterloo,1840,,220.0,146.0,74.0,London_Falmouth,Port Adelaide,,,,,"11 cabin & 209 Commissioners' emigrants
",https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,220.0
Clydeside,1841,,14.0,,,The Clyde,Port Adelaide,,,,,,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,14.0
Christina,1841,,14.0,14.0,0.0,London,Port Adelaide,,,,,,https://localas above  https://localwiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1837wiki.org/adelaide-hills/Overseas_Arrivals_to_South_Australia_-_1842,,14.0
